protein,mean_orig,mean_ko,diff
ARID2,-0.096135974,-1.3040277,-1.2078917
BRD7,0.028488383,-1.0826098,-1.1110982
SMARCA4,0.013309646,-1.0862427,-1.0995523
MBD3,0.06856988,-0.8692492,-0.9378191
CHD3,0.11709064,-0.76597035,-0.883061
SMARCD1,-0.057206683,-0.9274282,-0.8702215
SMARCC2,0.003182742,-0.85798967,-0.86117244
SMARCE1,-0.023284467,-0.87863517,-0.8553507
SMARCB1,-0.07323052,-0.92018014,-0.84694964
JPH1,0.011294805,-0.8311564,-0.84245116
ACTL6A,-0.11469481,-0.9251859,-0.8104911
RAD21,-0.07376645,-0.88119507,-0.8074286
BRD3,-0.114951886,-0.9077073,-0.79275537
SMARCC1,-0.03852072,-0.81251174,-0.77399105
RBBP5,-0.008084481,-0.7804879,-0.7724034
FADS1,0.13351147,-0.6291741,-0.7626856
TBCEL,0.086269125,-0.67154527,-0.7578144
INTS1,0.10509789,-0.6497013,-0.7547992
DDC,0.08059386,-0.67411864,-0.7547125
RBM10,0.010148648,-0.7434181,-0.75356674
BANP,0.012021864,-0.73630273,-0.7483246
SMC1A,-0.13866462,-0.8806763,-0.7420117
ASB6,0.023838302,-0.71065724,-0.7344955
EHMT2,-0.09181493,-0.82483727,-0.73302233
GOLGA6L7,-0.02244532,-0.75400394,-0.7315586
SPIN1,0.037075866,-0.6919382,-0.7290141
INTS3,0.13093485,-0.59398824,-0.7249231
CDK5RAP3,0.14623764,-0.5770694,-0.723307
TGM3,0.14611812,-0.5763446,-0.7224627
PCNT,0.000527539,-0.7199039,-0.72043145
UBTF,-0.11796295,-0.8379719,-0.72000897
SIN3A,0.028444586,-0.6751268,-0.7035714
SV2A,0.06300362,-0.6362826,-0.6992862
RBMXL1,0.048591506,-0.64895296,-0.69754446
CTNNAL1,0.04951056,-0.64725035,-0.6967609
BCL11B,0.04408807,-0.64909446,-0.6931825
SMC3,-0.14998116,-0.8431321,-0.69315094
PPHLN1,-0.025354639,-0.71467847,-0.68932384
WDR81,-0.10799376,-0.7967079,-0.68871415
H1-4,-0.016710961,-0.7030294,-0.68631846
CGGBP1,0.023238733,-0.65531945,-0.6785582
FDFT1,0.10293364,-0.5679504,-0.6708841
SYNE2,0.069441535,-0.59783727,-0.6672788
JMJD7,0.0385537,-0.62164,-0.66019374
ATP2B1,0.11331997,-0.5463567,-0.6596767
DNMT3A,-0.025299257,-0.6847704,-0.65947115
GLUL,0.13438588,-0.52468,-0.6590659
DDX23,-0.09466428,-0.75161546,-0.6569512
EHMT1,-0.033489943,-0.6849352,-0.65144527
CORO2A,0.053839263,-0.5898205,-0.6436598
SMARCD2,-0.0423296,-0.6853394,-0.6430098
BEND3,0.029943323,-0.6113121,-0.64125544
SMARCA5,-0.13693261,-0.7750413,-0.6381087
ATAD5,-0.03806535,-0.67588365,-0.6378183
SMU1,0.003586718,-0.6331417,-0.6367284
POMT2,0.027428033,-0.6089345,-0.63636255
NT5DC2,0.026842173,-0.6084656,-0.6353078
FUBP3,0.03705723,-0.5967245,-0.63378173
NNT,-0.02064251,-0.6538966,-0.63325405
WDR82,-0.08556166,-0.7173802,-0.63181853
H4C1;H4C2;H4C3;H4C4;H4C5;H4C6;H4C8;H4C9;H4C11;H4C12;H4C13;H4C14;H4C15;H4-16,-0.026569633,-0.6570315,-0.6304619
GPX7,-0.043676127,-0.6729678,-0.62929165
CDK2AP1,0.012466174,-0.61593723,-0.6284034
TFAP4,0.01865387,-0.6085123,-0.62716615
POLR2A,-0.08484964,-0.7110739,-0.6262242
ACAD10,0.010663467,-0.6135457,-0.62420917
NFRKB,0.002760746,-0.6185668,-0.6213276
RAB23,0.1262301,-0.4936316,-0.6198617
ASB7,0.045799896,-0.57057405,-0.61637396
CHRAC1,-0.0327388,-0.648875,-0.6161362
MTOR,0.13656439,-0.47939488,-0.6159593
CMAS,0.08587212,-0.52964014,-0.61551225
NSD3,-0.001918944,-0.6173192,-0.61540025
DIABLO,0.070137896,-0.5443734,-0.6145113
THNSL1,0.10572201,-0.508051,-0.613773
SHMT2,-0.090341985,-0.7028431,-0.61250114
MTERF4,0.09020927,-0.5222721,-0.61248136
LCOR,0.15537623,-0.45553428,-0.61091053
SFXN2,-0.028924398,-0.63805044,-0.60912603
STAG2,-0.001985323,-0.6094288,-0.6074435
CTDSPL2,-0.031740554,-0.6384607,-0.60672015
HNRNPR,-0.068137325,-0.67461133,-0.606474
CDKN2AIP,0.004228958,-0.59620464,-0.6004336
MAN2C1,0.05557071,-0.5447719,-0.60034263
HNRNPDL,-0.08645286,-0.68670964,-0.6002568
STXBP5,0.04707247,-0.55270284,-0.5997753
SNRPD1,-0.029716924,-0.62915725,-0.59944034
ILF3,-0.06427955,-0.663694,-0.59941447
RBM12B,0.039496634,-0.5522427,-0.59173936
ZMYND11,0.16104089,-0.43021598,-0.59125686
MAP4K5,0.069029875,-0.5218922,-0.59092206
TASOR,0.0731995,-0.5172274,-0.5904269
SUDS3,0.007747249,-0.5816389,-0.5893861
RPP25L,-0.006749935,-0.59352,-0.58677006
WASF1,0.01214959,-0.5742726,-0.58642215
NIPBL,-0.040618125,-0.6267111,-0.58609295
HNRNPH3,-0.002033798,-0.58629674,-0.58426297
CBX8,-0.09353029,-0.6766105,-0.58308023
MTA2,-0.16003191,-0.7421639,-0.582132
KHDRBS3,0.06686577,-0.5149305,-0.5817963
TRMT2B,-0.04724619,-0.6289304,-0.5816842
ING1,0.023668455,-0.5571848,-0.5808533
H1-10,0.072729364,-0.5075168,-0.58024615
DHRS13,-0.010770247,-0.5909706,-0.5802003
FOXA1,0.069668785,-0.507742,-0.57741076
SYNCRIP,-0.054131866,-0.63105685,-0.576925
FAM186A,-0.025526715,-0.6011959,-0.57566917
KAT7,-0.06925256,-0.6439929,-0.57474035
IFT140,-0.036471672,-0.60738724,-0.5709156
MYO1D,0.092746444,-0.47814327,-0.5708897
SUPT6H,-0.04082271,-0.6114049,-0.5705822
LONP2,-0.035942953,-0.60539824,-0.56945527
SACM1L,-0.06959222,-0.6384941,-0.56890184
CTR9,-0.008117521,-0.5762869,-0.5681694
SBF1,-0.005592995,-0.573604,-0.568011
USP11,-0.023264233,-0.5910096,-0.5677454
SIM2,0.0984577,-0.46911684,-0.56757456
PRKAA2,-0.01083538,-0.5783764,-0.567541
STK32C,0.08144915,-0.48473668,-0.56618583
PRPF4,0.010632708,-0.5544268,-0.5650595
NRP2,0.062293224,-0.50223386,-0.5645271
POGZ,-0.019462908,-0.58313227,-0.5636694
VRK1,-0.05009956,-0.6117232,-0.56162363
FAR1,0.13056397,-0.43044284,-0.5610068
SNRNP200,-0.034121435,-0.595122,-0.5610005
PDS5B,-0.013739171,-0.5741721,-0.5604329
LARS2,-0.10283279,-0.65988857,-0.5570558
HNRNPK,-0.055251427,-0.6120624,-0.556811
WTAP,0.017543472,-0.5391902,-0.55673367
MATR3,-0.051290922,-0.6078904,-0.5565995
ABAT,0.06874401,-0.4851195,-0.5538635
ARGLU1,-0.022871858,-0.5761112,-0.55323935
PRXL2A,0.077900894,-0.47513878,-0.55303967
PCDHB4,-0.02499396,-0.5777636,-0.55276966
ADNP,-0.030018978,-0.58201534,-0.55199635
PHYKPL,0.004513458,-0.5459306,-0.55044407
DHX30,-0.074653044,-0.6249143,-0.55026126
NCS1,0.13435546,-0.41560215,-0.54995763
MICU1,-0.08562309,-0.63535887,-0.5497358
MKRN2,0.052294258,-0.49720547,-0.54949975
MIDEAS,0.07395216,-0.47487652,-0.54882866
HNRNPU,-0.0871661,-0.6345634,-0.54739726
WFIKKN2,-0.018582841,-0.5659281,-0.5473453
RALGAPB,0.08890164,-0.45680267,-0.5457043
NCOR2,0.1427773,-0.40273392,-0.54551125
LDAH,0.047670566,-0.49756482,-0.5452354
BUD13,0.13989404,-0.40524206,-0.5451361
IQGAP3,0.09348136,-0.45132488,-0.54480624
NELFB,-0.026156718,-0.57058275,-0.544426
GCAT,-0.036354125,-0.5807279,-0.54437375
SENP1,-0.06513477,-0.6092006,-0.54406583
INCENP,0.015207855,-0.5280459,-0.5432537
MON2,0.006422143,-0.53660893,-0.5430311
WDR92,0.033667915,-0.50885546,-0.5425234
CREB1,-0.021592038,-0.56359243,-0.5420004
TMPO,-0.017518535,-0.5563418,-0.5388233
NCOA6,0.013053191,-0.52332264,-0.5363758
SLC25A11,0.06440125,-0.4719256,-0.5363268
SRSF3,-0.06668258,-0.6025233,-0.53584075
WNK2,-0.012144509,-0.5479031,-0.5357586
SINHCAF,-0.020391794,-0.555791,-0.5353992
IGSF1,0.08182976,-0.4535482,-0.535378
HNRNPA0,-0.025474623,-0.5588966,-0.533422
GMEB2,-0.076824926,-0.6100369,-0.533212
ATPAF1,-0.01111838,-0.54432553,-0.5332072
MAFG,0.12975171,-0.40293893,-0.53269064
GSTM3,0.12180385,-0.41021514,-0.532019
BRI3BP,-0.03460162,-0.5665969,-0.5319953
EP400,0.0685083,-0.46338883,-0.5318971
RBM15B,0.027565986,-0.50295717,-0.5305232
SYT1,0.002347116,-0.52813846,-0.5304856
SAP30,-0.115211464,-0.6449819,-0.52977043
C16orf87,0.077844106,-0.45172378,-0.5295679
BAZ1B,-0.12560199,-0.65500367,-0.52940166
ALAD,0.09188759,-0.43746084,-0.52934843
HNRNPA1,-0.10275314,-0.63200057,-0.5292474
PHF10,-0.030696206,-0.559693,-0.52899677
MYH10,-0.010853191,-0.5388878,-0.5280346
YEATS2,-0.0321581,-0.55810976,-0.5259517
TOP2B,-0.1253389,-0.65074974,-0.52541083
DAAM1,0.008477404,-0.5161829,-0.5246603
TCF20,-0.034644634,-0.55750895,-0.52286434
CBX1,0.049138885,-0.47349656,-0.52263546
MLLT11,0.07032245,-0.4519339,-0.5222563
COQ7,0.004245713,-0.5178524,-0.5220981
PRPF38A,-0.1811178,-0.7024058,-0.52128804
EFTUD2,-0.050793923,-0.57135254,-0.5205586
NUP88,-0.053089026,-0.57362014,-0.5205311
DPYSL3,0.14169782,-0.37849012,-0.520188
ARG2,0.08707797,-0.43289495,-0.5199729
NDUFAF3,-0.11481541,-0.6344513,-0.5196359
ARHGAP30,-0.079321206,-0.59888816,-0.51956695
PXMP2,-0.05574431,-0.57407,-0.5183257
PTS,-0.04046948,-0.5587885,-0.518319
ARPC1A,0.17025086,-0.34770507,-0.5179559
TTC19,0.0341638,-0.48368084,-0.5178446
GPSM1,0.06242027,-0.45329753,-0.5157178
PPM1A,-0.008665773,-0.5242609,-0.5155951
ARL6IP6,0.012640136,-0.5025919,-0.515232
NCBP1,0.011761267,-0.50199866,-0.5137599
KATNAL1,0.19539237,-0.31737044,-0.5127628
NSD2,-0.01909017,-0.5309488,-0.51185864
KIAA1549,0.052437916,-0.45874453,-0.5111824
DNM1,0.019400498,-0.4916882,-0.51108867
RBMX,-0.046981577,-0.5571504,-0.51016885
TMOD2,0.022836743,-0.4871182,-0.5099549
CHAMP1,-0.07799542,-0.58777237,-0.50977695
LENG9,0.088763714,-0.4208677,-0.5096314
UFL1,0.1361077,-0.37344003,-0.5095477
MMAB,-0.018033193,-0.5273389,-0.5093057
RAB21,0.017437344,-0.49140716,-0.5088445
KBTBD11,-0.007904912,-0.51668704,-0.50878215
NCOA5,-0.006462838,-0.51503074,-0.5085679
PABPC4,-0.04351043,-0.55068636,-0.5071759
MMUT,0.058039553,-0.44873035,-0.5067699
SRSF9,-0.031372733,-0.53804135,-0.5066686
FUNDC2,0.0902595,-0.4158104,-0.5060699
ANAPC1,0.13430104,-0.3700491,-0.5043501
RTN3,0.078972414,-0.42522836,-0.50420076
ATP2A1,-0.010317666,-0.5143881,-0.5040704
YEATS4,-0.034314636,-0.5364913,-0.50217664
KIF18B,-0.022373216,-0.5241905,-0.5018173
ALDH2,0.08079262,-0.42062882,-0.50142145
ELF2,-0.030056959,-0.53071487,-0.5006579
HNRNPLL,0.08368287,-0.4169483,-0.50063115
MYO19,0.047847874,-0.45040014,-0.498248
RMND1,0.023417484,-0.47348312,-0.4969006
THOC5,-0.000267811,-0.49575377,-0.49548596
ZNF22,-0.025802594,-0.5209314,-0.49512884
ASF1A,-0.024904221,-0.5190295,-0.49412528
NDUFAF4,-0.10560605,-0.59922093,-0.49361488
VEZF1,-0.024980249,-0.51848197,-0.49350172
SMG6,0.036637142,-0.45668855,-0.4933257
CRNKL1,0.05036963,-0.44252384,-0.49289346
EPHB4,0.027925417,-0.46464378,-0.4925692
VAMP2,0.028390532,-0.46414325,-0.49253377
AK3,0.049450837,-0.4429364,-0.49238724
CNTN1,0.028162783,-0.4640687,-0.4922315
GPT2,-0.003628474,-0.4954729,-0.49184445
MFSD1,0.03553405,-0.45618466,-0.4917187
ATXN2,0.10567455,-0.38590747,-0.49158204
ANK3,0.020814758,-0.46864012,-0.48945487
SIGMAR1,-0.089967474,-0.578958,-0.4889905
COMMD9,0.07543561,-0.41294655,-0.48838216
AMIGO2,-0.052191846,-0.5403415,-0.48814964
ANKRD10,0.005585372,-0.4821052,-0.48769057
SCFD2,0.046966325,-0.43958083,-0.48654714
YLPM1,-0.003691461,-0.49000055,-0.48630908
MARCKSL1,0.005160753,-0.48017514,-0.4853359
ILF2,-0.029818542,-0.5151207,-0.48530215
THEM6,0.14307013,-0.34175554,-0.48482567
ERI3,-0.007481848,-0.49161094,-0.4841291
HS2ST1,0.06222835,-0.42161056,-0.48383892
PSIP1,-0.061928976,-0.5456298,-0.4837008
BRMS1,-0.024732064,-0.5069059,-0.48217386
BCL7B,0.025537448,-0.45614964,-0.4816871
SRSF1,-0.09169246,-0.5722739,-0.48058146
NXF1,0.030166106,-0.45039585,-0.48056197
NUSAP1,-0.04637827,-0.5268602,-0.48048192
SESTD1,0.094643384,-0.3852761,-0.4799195
TMEM68,0.017752118,-0.46115714,-0.47890925
CTCF,-0.07473464,-0.55341864,-0.478684
KDM1A,0.015894068,-0.4627244,-0.47861844
COX8A,-0.01993143,-0.49807167,-0.47814023
IK,-0.048900418,-0.5267776,-0.4778772
STAG1,0.025288476,-0.451865,-0.47715345
GCLC,0.08167264,-0.3950691,-0.47674173
PRPF3,0.038830314,-0.43690044,-0.47573075
UBE2A,-0.044585627,-0.518836,-0.4742504
CKAP4,0.10654185,-0.36713687,-0.4736787
NCBP3,-0.09221548,-0.5650894,-0.47287393
ISLR2,0.071769014,-0.40051943,-0.47228843
CTBP1,-0.08285586,-0.5544012,-0.47154537
SLC25A46,-0.016011763,-0.4870328,-0.47102103
LIN7A,-0.017768573,-0.4879398,-0.47017124
NDUFS3,0.006313337,-0.46382728,-0.4701406
CAMK4,0.07568106,-0.39382133,-0.4695024
THOC6,-0.07701888,-0.5458866,-0.4688677
INTS12,-0.003364515,-0.47198674,-0.46862224
ATN1,0.033706073,-0.43341315,-0.46711922
ANKRD30B,0.04150373,-0.425006,-0.46650973
GRIPAP1,0.13235694,-0.33414847,-0.4665054
PATZ1,-0.047309864,-0.51358086,-0.46627098
GNAI1,0.0770578,-0.38915214,-0.46620995
UNG,-0.05680307,-0.5229881,-0.466185
SFPQ,-0.084171236,-0.55007815,-0.46590692
H2AC21,-0.027832875,-0.4931999,-0.46536705
SKP2,0.1431119,-0.3200122,-0.4631241
GNG2,-0.08902071,-0.552011,-0.4629903
MEX3A,-0.03160656,-0.49453887,-0.46293232
ZNF462,-0.1352025,-0.5979938,-0.4627913
CRIPT,-0.02692594,-0.48968458,-0.46275863
OSBPL2,-0.030176442,-0.49280304,-0.4626266
PTGFRN,-0.01493658,-0.47693622,-0.46199965
PLPP6,0.08715268,-0.3743113,-0.461464
HDAC4,0.057383794,-0.40379018,-0.46117398
NFYC,-0.09583489,-0.55697536,-0.46114048
SLC25A4,-0.0312868,-0.4923418,-0.46105498
NTAQ1,-0.02420419,-0.48460704,-0.46040285
SAMD1,-0.12460659,-0.5843309,-0.45972434
CADM1,-0.063477635,-0.5229384,-0.45946074
ENDOG,0.008167896,-0.45115545,-0.45932335
XRCC1,-0.04837943,-0.50763094,-0.45925152
MANBAL,0.038876705,-0.41922638,-0.4581031
COBL,0.17720284,-0.28040633,-0.45760918
ANAPC4,0.075498946,-0.38185805,-0.457357
MYT1L,0.031733193,-0.42513257,-0.45686576
EXOC8,-0.057592202,-0.5134286,-0.45583642
FABP6,0.049489934,-0.40583745,-0.4553274
CIRBP,-0.060977217,-0.5162759,-0.45529866
DCLK1,0.056990065,-0.39807674,-0.4550668
SRSF10,-0.06964819,-0.52352786,-0.45387965
MARVELD2,0.083852924,-0.3698702,-0.4537231
ARVCF,0.080546744,-0.37265083,-0.45319757
ALDH3A2,0.074350685,-0.37872243,-0.4530731
TDRD3,-0.013164762,-0.4659651,-0.45280033
XAB2,-0.09907311,-0.5513887,-0.45231557
PNPLA4,0.12164919,-0.33025745,-0.45190662
VLDLR,-0.083446234,-0.535177,-0.45173076
FAAH,0.034510165,-0.41719845,-0.4517086
ELMOD2,0.10416045,-0.34746644,-0.4516269
HMGB3,0.05122534,-0.40010232,-0.45132765
WDR91,-0.046852287,-0.49801725,-0.45116496
AAAS,0.000698018,-0.45014656,-0.4508446
PTGS1,-0.049677003,-0.500224,-0.45054698
PWWP2A,0.06119079,-0.38848206,-0.44967285
PLA2G4A,0.009508501,-0.44007903,-0.44958752
PLEKHA5,0.08538038,-0.361599,-0.44697937
FIBP,0.007365276,-0.439426,-0.4467913
SH3BP4,0.065287724,-0.38150245,-0.44679016
COX7A2,0.019198636,-0.4269853,-0.44618392
DR1,-0.003554426,-0.44959617,-0.44604173
SORD,-0.02672845,-0.47142357,-0.44469512
CNPY2,0.009056909,-0.43544587,-0.44450277
SEC63,0.072822854,-0.37023452,-0.44305736
PODXL2,-0.08143383,-0.52412444,-0.4426906
NCK2,0.013639098,-0.4289124,-0.4425515
ZNF326,-0.014546221,-0.45709658,-0.44255036
OR4K3,-0.09888141,-0.54091555,-0.44203413
KIF20A,0.07510094,-0.36663562,-0.44173658
PDK1,-0.08873329,-0.5301449,-0.44141158
SIX4,-0.045620598,-0.48693454,-0.44131395
SDC2,0.15617661,-0.2848088,-0.44098544
ACP3,0.1833174,-0.25738275,-0.44070014
KIF20B,0.10755682,-0.3308488,-0.43840563
POLR2G,-0.028441291,-0.46678486,-0.43834358
STX8,0.16734768,-0.27093488,-0.43828255
KSR1,0.020420717,-0.41743997,-0.4378607
TMX4,0.088299036,-0.34867218,-0.43697122
DIS3L2,0.066033356,-0.3702771,-0.43631047
DDX55,0.097380534,-0.33872426,-0.43610477
ATXN7L3B,0.055588722,-0.37965024,-0.43523896
POLE3,0.03982077,-0.39492157,-0.43474233
NDUFS7,0.04345609,-0.39110386,-0.43455994
HADH,-0.01559329,-0.44909403,-0.43350074
UHRF1,-0.09234589,-0.5257662,-0.4334203
ESRRA,-0.018796725,-0.45196748,-0.43317077
NCOR1,-0.03411798,-0.4672159,-0.4330979
SNRPD2,-0.06623045,-0.49925348,-0.43302304
MRGPRG-AS1,-0.025418777,-0.45827225,-0.43285346
EFNB1,-0.008311678,-0.44111714,-0.43280545
CAB39,-0.003531887,-0.43622708,-0.4326952
RANBP6,0.041222773,-0.3904289,-0.43165168
WDR5,-0.044478044,-0.47608703,-0.43160897
CPT2,-0.003914635,-0.4350876,-0.43117297
NOVA1,0.11060254,-0.3205252,-0.43112773
PHC1,-0.013134635,-0.4441614,-0.43102676
RBM6,-0.11563126,-0.54650706,-0.4308758
KCNIP3,0.14837086,-0.2822778,-0.43064865
ARID5B,-0.054021213,-0.48419514,-0.43017393
CDH2,0.1197328,-0.3101571,-0.4298899
NT5C,0.05426413,-0.37536514,-0.42962927
ZNF706,-0.037040185,-0.4663425,-0.42930233
FOXP1,0.024998933,-0.40417084,-0.42916977
KIF22,-0.05604275,-0.4849503,-0.42890754
PDK3,-0.02598508,-0.45451966,-0.42853457
ZMYM4,-0.061188575,-0.4896923,-0.42850372
NCOA7,-0.06544366,-0.49385694,-0.42841327
IGDCC4,-0.06370111,-0.49195895,-0.42825782
SEC24B,0.11700276,-0.31041846,-0.4274212
ABI2,0.09541039,-0.33099595,-0.42640632
SNRNP40,-0.068289325,-0.49394402,-0.4256547
ZNF101,0.07092348,-0.3544231,-0.42534658
MAD2L1,0.023856584,-0.40114838,-0.42500496
B3GAT3,0.04362021,-0.38117626,-0.42479646
MAP4K4,0.037768085,-0.38641247,-0.42418057
NAA25,0.08037408,-0.343028,-0.42340207
MARS2,-0.069317706,-0.49246204,-0.42314434
TMEM11,0.10235791,-0.3204272,-0.4227851
CNTRL,0.069752246,-0.35289663,-0.42264888
BAP1,-0.013474683,-0.435371,-0.42189634
FPGS,0.10968525,-0.31200576,-0.421691
DCUN1D5,0.008053817,-0.41333252,-0.42138633
HDAC2,-0.047559004,-0.46809992,-0.42054093
ABHD17B,0.009616779,-0.4101724,-0.4197892
TIA1,-0.042568594,-0.46218565,-0.41961706
RRN3,-0.1274269,-0.54639846,-0.41897154
DOCK2,0.07238866,-0.3465014,-0.41889006
NYAP1,0.0931701,-0.3256826,-0.41885272
IREB2,-0.11368046,-0.53225416,-0.4185737
DPM3,0.010662383,-0.4077942,-0.41845658
MAP2,-0.072177306,-0.48999903,-0.4178217
LAMA3,0.031025503,-0.3863919,-0.4174174
SCAF11,0.030153828,-0.38645044,-0.41660428
PTPRE,0.022601832,-0.3934038,-0.41600564
PNISR,-0.01756966,-0.4331688,-0.41559914
FAM234A,0.11109411,-0.3044852,-0.41557932
CEP44,0.076108634,-0.33917078,-0.41527942
ASF1B,-0.053924445,-0.46903664,-0.4151122
BMI1,0.019166933,-0.39587504,-0.41504198
NUDT4,0.08128171,-0.3332417,-0.41452342
SETD2,-0.06258047,-0.47699675,-0.41441628
DDX39A,-0.07929741,-0.49331576,-0.41401833
PRPF6,-0.04014452,-0.45392075,-0.41377622
CRACR2B,-0.09886796,-0.5122388,-0.41337085
QSOX2,0.08689368,-0.32607958,-0.41297325
C2CD2L,0.09429156,-0.3186034,-0.41289496
NDUFS5,-0.018775692,-0.43135297,-0.41257727
LNPK,0.14323014,-0.26909512,-0.41232526
LIG3,-0.071423516,-0.4832437,-0.41182017
POU2F1,-0.026472988,-0.43827024,-0.41179726
DMAP1,-0.08171434,-0.4927554,-0.41104108
FNDC3A,0.03603362,-0.37451977,-0.4105534
SLC25A20,-0.08211651,-0.49266908,-0.41055256
DDRGK1,0.14838938,-0.26068267,-0.40907204
PFKP,0.110956736,-0.29810733,-0.40906405
LANCL1,0.098615825,-0.31023756,-0.40885338
TSC22D1,0.001685121,-0.40694895,-0.40863407
FXR2,0.05697659,-0.35159642,-0.408573
CPSF7,-0.061284352,-0.46956444,-0.40828007
SRSF7,-0.10313653,-0.51115626,-0.40801972
DHX9,-0.07412192,-0.4818125,-0.40769058
IQCA1,0.006317614,-0.40127164,-0.40758926
FAM117B,0.08158415,-0.32565597,-0.40724012
YES1,0.052682273,-0.35379967,-0.40648195
ACTR8,-0.007209418,-0.41272637,-0.40551695
DDX3X,0.062520035,-0.3428076,-0.40532762
CDK18,0.009898989,-0.3948047,-0.40470368
HMBOX1,-0.055604823,-0.46002755,-0.40442273
MCU,0.06260428,-0.3414595,-0.4040638
NUDT14,0.18190557,-0.22170544,-0.403611
TOR2A,0.06661359,-0.33675155,-0.40336514
ZC3H7B,0.05332604,-0.35000572,-0.40333176
FLG,0.05987134,-0.3434495,-0.40332085
EARS2,0.009607076,-0.39312485,-0.40273193
KLC2,0.030549342,-0.37178776,-0.4023371
CHD4,-0.18872121,-0.5910015,-0.4022803
INTS13,-0.08512497,-0.4873231,-0.40219814
JAG1,0.07812696,-0.32377762,-0.40190458
MYO1G,0.005959217,-0.39518175,-0.40114096
MED1,0.05769192,-0.34291786,-0.4006098
NDUFA6,0.07719363,-0.32332242,-0.40051603
MADD,0.09136947,-0.30911288,-0.40048236
SENP3,-0.023554668,-0.42277893,-0.39922428
MGST1,0.028739756,-0.370244,-0.39898375
RPAIN,-0.005941739,-0.40489838,-0.39895663
SRSF6,0.0251521,-0.37345928,-0.39861137
PTBP1,-0.008813548,-0.4069165,-0.39810294
STRN4,0.04778576,-0.35020068,-0.39798644
SF3B1,-0.044028748,-0.4418953,-0.39786655
PRMT6,0.004547662,-0.39299744,-0.3975451
NSL1,0.018417777,-0.37825736,-0.39667514
DDHD2,0.15143675,-0.24507275,-0.3965095
ATL1,-0.1321875,-0.5286725,-0.39648503
PRPF8,-0.022052618,-0.41815323,-0.3961006
PHF14,0.051121067,-0.34483078,-0.39595184
POLDIP2,0.060156178,-0.33557057,-0.39572674
ABCD3,0.16712978,-0.22806686,-0.39519665
TAB2,0.056715466,-0.33793426,-0.3946497
DDX5,-0.06401521,-0.45855606,-0.39454085
MYH1,0.13790135,-0.2563856,-0.39428693
CPM,0.08935485,-0.30489242,-0.39424726
AIF1L,0.01599099,-0.37765238,-0.39364338
CSTA,-0.019835563,-0.4134785,-0.39364293
PAXIP1,0.006434569,-0.38715163,-0.3935862
PTPN11,0.019171493,-0.37381953,-0.39299104
SRC,0.099727415,-0.2931416,-0.39286903
BCL7A,-0.0761499,-0.46897247,-0.39282256
CCNY,0.06435513,-0.32840344,-0.39275858
GPC6,0.12973249,-0.2628507,-0.3925832
HOOK1,0.08945081,-0.3027778,-0.3922286
MTA1,-0.029123578,-0.4210776,-0.39195403
ID1,0.015217797,-0.37637377,-0.39159158
GDPD1,-0.09288396,-0.48398107,-0.39109713
UBA7,-0.008880008,-0.3996029,-0.39072287
SERINC1,0.0840418,-0.30665648,-0.39069828
CSRP1,0.056254905,-0.33432618,-0.39058107
MSRB2,0.21928005,-0.17101635,-0.3902964
PLEKHG3,0.04447412,-0.34490976,-0.38938388
SAP130,0.02528156,-0.36388513,-0.38916668
DTNA,-0.01147548,-0.40035048,-0.388875
HP1BP3,-0.10682956,-0.49558952,-0.38875997
FNTB,-0.01907321,-0.40642974,-0.38735652
ADO,-0.021893587,-0.40881553,-0.38692194
GTF2B,-0.013890207,-0.40031177,-0.38642156
ING5,-0.053357743,-0.43969908,-0.38634133
GAR1,-0.06889591,-0.45519155,-0.38629565
CENATAC,0.05981345,-0.32607463,-0.38588807
PDLIM3,0.091918096,-0.29389003,-0.3858081
MFAP1,-0.17348379,-0.5591453,-0.38566148
LAMTOR3,0.02907529,-0.35637105,-0.38544634
SLC9A3R2,0.14647247,-0.23889405,-0.3853665
RDH11,0.17847413,-0.20662719,-0.38510132
CPSF1,0.011986212,-0.37302983,-0.38501605
MAGI1,0.065402985,-0.31905916,-0.38446215
FASTKD2,0.05936718,-0.32509238,-0.38445956
PGM2L1,-0.006673124,-0.39089155,-0.38421842
MTG1,0.23424707,-0.14984594,-0.38409302
METTL9,0.05077689,-0.3332326,-0.3840095
ACIN1,-0.12613447,-0.5099485,-0.38381404
TAF4,0.06679476,-0.31681803,-0.38361278
THOC7,-0.022701623,-0.40583673,-0.3831351
CDC5L,-0.085240334,-0.46822438,-0.38298404
NIBAN2,0.10206066,-0.28029433,-0.38235497
GATA6,0.035496935,-0.34681773,-0.38231468
NDUFS8,0.011217368,-0.37079808,-0.38201544
CSNK1E,-0.0255256,-0.40621948,-0.38069388
TWNK,0.046969164,-0.33356318,-0.38053235
ARMCX2,-0.012079155,-0.3925039,-0.38042474
SCGN,0.05069547,-0.32965353,-0.380349
NUP107,0.001797614,-0.3782338,-0.3800314
GLT8D1,0.004364454,-0.37529376,-0.37965822
FREM3,0.07541147,-0.30417934,-0.3795908
INTS7,0.02910147,-0.3504826,-0.37958407
DPYSL5,-0.00649107,-0.38594657,-0.3794555
RAB35,0.00256584,-0.37663078,-0.3791966
FIP1L1,-0.054648127,-0.43375137,-0.37910324
PRDX2,-0.09291573,-0.47180828,-0.37889254
CNRIP1,-0.025515806,-0.40434027,-0.37882447
POLR3A,-0.017042879,-0.3955075,-0.37846464
