,pathways,diff_copy
0,allograft_rejection,0.2689999999999997
1,apoptosis,0.35477380952380977
2,bile_acid_metabolism,0.36599999999999966
3,cholesterol_homeostasis,0.4731818181818179
4,coagulation,0.4130746031746031
5,dna_repair,-0.16200000000000037
6,e2f_targets,-0.2698148148148152
7,emt,0.4959975369458125
8,fatty_acid_metabolism,0.3086666666666664
9,g2m_checkpoint,-0.24744827586206908
10,heme_metabolism,0.29100000000000037
11,il2_stat5_signalling,0.5213854679802963
12,interferon_gamma_response,0.4156666666666671
13,myc_targets,-0.1706666666666674
14,myogenesis,0.3708635531135527
15,tnfa_via_nfkb,0.5347333333333331
16,xenobiotic_metabolism,0.4439999999999982
