,pathways,diff_copy
0,allograft_rejection,0.0006666666666674814
1,apoptosis,0.05313793103448261
2,bile_acid_metabolism,0.08902631578947418
3,cholesterol_homeostasis,0.03433333333333266
4,coagulation,0.07444827586206904
5,dna_repair,-0.04466666666666663
6,e2f_targets,-0.09136904761904785
7,emt,0.10628918495297812
8,fatty_acid_metabolism,0.11194545454545457
9,g2m_checkpoint,-0.028666666666666396
10,heme_metabolism,0.09204054520358862
11,il2_stat5_signalling,0.13416579131652595
12,interferon_gamma_response,0.08461309523809568
13,myc_targets,0.0011666666666676484
14,myogenesis,0.04833333333333378
15,tnfa_via_nfkb,0.08679395604395634
16,xenobiotic_metabolism,0.09345614035087824
